"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1265","Generic methods","chromium","2026-03-04","passed","2026-03-04","","test-2.spec.ts","",""
"","1703","Screenshots and reporting @SomeTeg @SomeOtherTag","chromium","2026-03-04","passed","2026-03-04","","test-2.spec.ts","",""
